,target,source
0,100157,100157
1,100157,364207
2,100157,38848
3,100157,bradshaw97introduction
4,100157,bylund99coordinating
5,100157,dix01metaagent
6,100157,gray99finding
7,100157,labrou01standardizing
8,100157,labrou99agent
9,100157,nodine98overview
10,100157,nodine99active
11,100157,wagner97artificial
12,100598,455651
13,100598,marquez00machine
14,100598,punyakanok01use
15,101570,krasnogor00memetic
16,10227,131669
17,10227,sima00computational
18,10227,sima01computational
19,103027,140169
20,105684,weiss00building
21,106003,104129
22,106003,singhal99document
23,106339,amer-yahia00boundingschemas
24,106339,arlein99making
25,106339,cluet99using
26,106339,shasha02algorithmics
27,108321,184462
28,108321,73962
29,108321,83140
30,108573,448486
31,108573,bailey01analysis
32,108573,bailey02eventconditionaction
33,108573,tova99active
34,108580,cohen01learning
35,108580,raman01potters
36,108580,sattler01data
37,110962,wichert00compositionality
38,11099,itskevitch01automatic
39,111340,315017
40,111340,405310
41,111958,apte01ai
42,112493,4588
43,112493,cohn01qualitative
44,112493,haarslev99description
45,11264,chan98toward
46,114091,groh99automated
47,11423,roumeliotis99circumventing
48,114563,hofmann99probabilistic
49,114563,szummer01kernel
50,114630,chu-carroll99conflict
51,11510,23381
52,11510,29551
53,11510,3602
54,11510,heintz00robosoc
55,11510,veloso99cmunited
56,115410,356540
57,115971,295535
58,115971,kumar00adaptive
59,116087,ostrovsky01polynomial
60,116696,murray98kaleidoquery
61,116882,zaragoza99dynamic
62,11708,chantemargue99collective
63,119174,313926
64,119174,cai01geovibe
65,119409,sanchez98agora
66,120432,sadri99computational
67,120432,sakama99updating
68,12369,244548
69,12369,257648
70,12369,453663
71,124100,57340
72,124833,452192
73,125291,bowman01introduction
74,125291,bowman99interaction
75,125291,gabbard98usability
76,125291,mundell99towards
77,125615,ventura99isocrob
78,126894,455997
79,126894,501178
80,126894,540501
81,126894,gajos01design
82,126894,peters02using
83,126894,wijngaards01mas
84,130387,brazier99compositional
85,130387,vanschooten99report
86,131492,khaled98gado
87,131492,schwabacher96use
88,131492,schwabacher98multilevel
89,131669,goller99connectionist
90,131669,goller99feature
91,13229,brabrand99ltbigwiggt
92,132458,bouguettaya99using
93,132577,14656
94,132577,516803
95,132577,griffiths01query
96,133494,133494
97,133494,159727
98,13423,282608
99,13423,wijsen99generalizing
100,137638,83728
101,138121,138121
102,13839,moerland00line
103,138451,254693
104,138451,352789
105,138451,agarwal01time
106,138451,chomicki99animating
107,138451,forlizzi99data
108,138451,grumbach00manipulating
109,138451,kollios99nearest
110,140079,415056
111,142848,21283
112,142848,214340
113,142848,516803
114,142848,griffiths01query
115,14331,slivinskas00foundation
116,146066,146066
117,14648,518092
118,14648,nigam01using
119,14648,popescul01probabilistic
120,14648,schein01generative
121,14656,132577
122,14656,griffiths01query
123,147375,kullbach99querying
124,147521,301428
125,147521,manolescu01efficient
126,147521,nie01joint
127,147521,widom00wsqdsq
128,147521,zadorozhny01validating
129,147739,konrad98model
130,147739,konrad99model
131,149759,461740
132,150449,bauer99where
133,150449,hollerer99exploring
134,150449,hollerer99situated
135,150449,randell00shopping
136,150449,reitmayr01mobile
137,150449,reitmayr01wearable
138,150449,rungsarityotin00finding
139,150449,schmalstieg00bridging
140,150514,486074
141,150514,506324
142,150514,cetintemel00selfadaptive
143,150514,chien01efficient
144,150514,nguyen01monitoring
145,150514,oliboni01temporal
146,150514,shasha02algorithmics
147,15156,294031
148,15156,baldan01mutaclp
149,15156,fauvet99applying
150,15156,forlizzi99data
151,15156,griffiths01query
152,15156,koubarakis99tractable
153,1529,coelho00developing
154,1529,piater99toward
155,15340,122529
156,154973,cabrera01proactive
157,154973,jansen00mobile
158,156949,156949
159,157013,34341
160,157013,45542
161,157253,ding01probabilistic
162,157253,joachims01statistical
163,157253,ng01stable
164,161260,455336
165,161260,vogler99toward
166,1625,277897
167,1625,honavar98distributed
168,162997,brabrand99ltbigwiggt
169,1639,roobaert00comparison
170,1639,roobaert00directsvm
171,1639,roobaert99viewbased
172,164846,535300
173,164953,sadri99computational
174,16755,342407
175,16892,16892
176,16892,33385
177,169000,469106
178,169000,534720
179,169000,rodriguez00learning
180,171304,45542
181,172324,451495
182,172950,226856
183,172950,wang00nonmonotonic
184,180347,448486
185,180347,shasha02algorithmics
186,18124,ian99kea
187,18124,witten01power
188,184462,108321
189,184462,73962
190,184462,83140
191,184682,284772
192,187087,115971
193,187693,muth99integrating
194,18832,290879
195,18855,staab00from
196,18915,grieser00unifying
197,18915,kruschwitz01exploiting
